StandID,Year,Standing_Snag_lt3,Standing_Snag_ge3,Standing_Foliage,Standing_Live_lt3,Standing_Live_ge3,Standing_Total,Canopy_Ht,Canopy_Density,Fuel_Mod1,Total_Cover,Tpa,BA,TopHt,RunTitle
Con_11_1,2019,0,0,0.43753022,0.824658096,2,3,8,0.023108516,2,7,68.5799942,13.49170303,24,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_11_1,2019,0,0,0.43753022,0.824658096,2,3,8,0.023108516,2,7,68.5799942,13.49170303,24,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_12_1,2019,0.023471462,2.8918643,3.433511257,6.796483994,13,26,1,0.093374036,8,34,4160.229492,68.20487976,46,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_12_1,2019,0.023471462,2.8918643,3.433511257,6.796483994,13,26,1,0.093374036,8,34,4160.229492,68.20487976,46,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_13_1-CWD,2019,0,6.135789871,0.134665385,0.459262639,0,7,4,0.009388844,2,5,466.4498291,3.320598602,15,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_13_1-CWD,2019,0,6.135789871,0.134665385,0.459262639,0,7,4,0.009388844,2,5,466.4498291,3.320598602,15,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_13_2,2019,0.119734146,0.628340244,5.137458324,12.2678318,17,36,1,0.154895708,8,46,4031.289063,98.58525848,47,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_13_2,2019,0.119734146,0.628340244,5.137458324,12.2678318,17,36,1,0.154895708,8,46,4031.289063,98.58525848,47,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_14_1,2019,0,4.413705826,0.779246271,2.646569729,4,12,4,0.01722724,8,22,1717.149536,21.57962608,40,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
Con_14_1,2019,0,4.413705826,0.779246271,2.646569729,4,12,4,0.01722724,8,22,1717.149536,21.57962608,40,trees_all_dflive_cbhcalc_6ftcutfoff_newsaps
