"Plot_code","Vegetation_type","Shrub_cover_pct","Shrub_ht_m","Shrub_pctDead","Sagebrush_cover_pct","Sagebrush_ht_m","CWD_cover_pct","CWD_Mg_ha","FBFM","TPH_trees","BA_m2_ha","TPH_largetrees","TPH_saps","Sap_ht_m","SH_m","CC_pct","CBH_m","CBD_kg_m3","CFL_kg_m2"
"Shr_72_1","Shrub",35.02,0.613687341353828,35.8739837398374,25.18,0.428463144868126,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_73_1","Shrub",48.64,0.238709677419355,14.2553191489362,48.64,0.238709677419355,0,0,"SH1",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_73_2","Shrub",26.98,0.424040697674419,17.4329501915709,12.98,0.0986191860465116,3.34,14.3926343484287,"TU1",131.844331555416,6.39423076923077,94.174522539583,1153.84615384615,0.466666666666667,6.4008,25,0.6096,0.014061769,0.11857093482036
"Shr_81_1","Shrub",64.7,0.629513320167877,27.0617283950617,18.52,0.183531950124188,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_81_2","Shrub",27.16,0.447203057359307,11.7410714285714,23.76,0.391399485930736,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_82_2","Shrub",32.72,0.609006429277942,13.3582089552239,17.06,0.359424332344213,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_82_3","Shrub",34.54,0.606,26.5243902439024,34.54,0.606,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_83_1","Shrub",59.72,0.718349836958811,21.7826086956522,27.32,0.292965398913354,0,0,"GS2",94.174522539583,0.00902366863905325,0,0,NA,1.8288,0,-0.3048,0,0.00069018154527
"Shr_91_2","Shrub",53.64,0.798611111111111,35.8695652173913,53.64,0.798611111111111,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_91_4","Shrub",53.76,0.754081632653061,22.2649572649573,53.76,0.754081632653061,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_92_1","Shrub",15.8,0.711902250351617,36.3076923076923,12.22,0.558579465541491,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_92_2","Shrub",48.42,0.973138742155402,48.4302325581395,13.02,0.137383177570094,0,0,"GS2",0,0,0,0,NA,NA,0,NA,NA,NA
"Shr_93_1","Shrub",76.54,0.880203317906316,3.62385321100917,0,NA,0.379999999999999,1.30600171271326,"TU1",1412.61783809375,0.46405325443787,18.8349045079166,0,NA,4.8768,7,-0.3048,0,0.01386255376573
