"sample_id","Rmax","Rmin","Rmean","Rsd","Rcv","Rhom","Gmax","Gmin","Gmean","Gsd","Gcv","Ghom","Bmax","Bmin","Bmean","Bsd","Bcv","Bhom","NIRmax","NIRmin","NIRmean","NIRsd","NIRcv","NIRhom","NDVImax","NDVImin","NDVImean","NDVIsd","NDVIcv","NDVIhom","file_name","area","rdnbr","age","elev_m","slope_deg","aspect_deg"
60,91,8,27.5921601334445,15.3066241096452,55.4745407232252,0.632356780530155,110,17,44.5729774812344,21.2548109676129,47.6854187642309,0.59175640887409,85,24,40.1832082290798,10.570362077195,26.3054209532863,0.709183484837552,165,14,70.5482346399778,43.1379454342407,61.1467397510123,0.451629519829577,0.725190839694656,-0.116279069767442,0.400479721482136,0.135170248027277,33.7520830086041,0.51568151760914,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.25,1132,"old",2332.97584041458,4.84960727094669,325.495007334375
14,142,15,58.2730052821796,25.8902122280568,44.4291693944507,0.439953108284344,134,29,74.7953850430915,24.324519707647,32.5214178570416,0.371836255889602,114,33,57.9121490130664,14.7992145633823,25.5545940110827,0.643997855646888,181,43,129.356408117876,30.0380139430738,23.2211255554511,0.340265090978936,0.661764705882353,-0.00854700854700855,0.396308995173539,0.13708029927865,34.5892475184985,0.548591641508322,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.25,680,"young",2258.71544199592,11.5933637526563,266.520520306582
16,164,19,63.8449569324812,25.4132355665105,39.8046091461634,0.45150592308419,154,28,78.532647957766,24.6711439886785,31.4151434215568,0.436563124537812,126,35,60.3250903028619,12.484116026326,20.6947324299881,0.664186587406402,186,38,133.521255904418,32.8898143794936,24.6326430624933,0.401331746959201,0.662650602409639,0.00303951367781155,0.364336042291297,0.119931582216497,32.9178473428683,0.569268431021229,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.75,395,"young",2316.07471309139,7.1351834782854,111.529525339513
23,172,21,76.7813888888889,26.6215642579214,34.6718972438044,0.50106271055103,164,32,91.3063888888889,23.6193830966187,25.8682698812689,0.519268890099766,146,36,69.5136111111111,16.3821185278934,23.5667781691101,0.653981607622879,187,55,148.453888888889,24.8444583171682,16.7354715347088,0.556282721649743,0.660606060606061,-0.0666666666666667,0.334341514492216,0.121495543151729,36.3387548017335,0.612364854245315,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",900,789,"young",2372.18423794889,15.3732533284039,198.514396233502
24,178,18,58.1312204614957,22.6479320815417,38.9600147764711,0.448936250601515,163,30,76.1278843480678,23.5112874532326,30.8839364899931,0.392897867893969,135,34,58.9146510981373,12.3137830961859,20.9010540954815,0.67011927266689,183,47,129.261328885182,30.1562779314443,23.3296982102288,0.367826913550096,0.635036496350365,-0.0588235294117647,0.389400770038716,0.115772307242286,29.7308881106668,0.568112688325309,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.25,766,"young",2311.77968275106,8.20795220015031,264.629901915726
27,166,19,82.9521956642579,32.3114955286993,38.951947287179,0.427192299055859,163,32,90.5519733185103,27.5215172522895,30.3930618446982,0.423615813947629,158,39,79.1072818232351,21.9756391346972,27.779540174066,0.538392372359279,181,37,121.789049471929,30.5319936772292,25.0695721902867,0.407267141855894,0.627118644067797,-0.0892018779342723,0.208974792891947,0.148930067505067,71.2670008875537,0.561746759732861,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.5,510,"young",2247.37437130918,13.488010970212,269.469470228748
45,106,11,36.8117876007784,18.8068277146632,51.0891454623776,0.565288698763594,119,23,50.3842090631081,21.1049408195146,41.8880066035766,0.527303444296739,107,29,48.3124826244092,11.5548550189015,23.9169142035841,0.655435177662625,174,19,69.8690575479566,37.5069119551566,53.6817201654862,0.445465667088141,0.675,-0.171270718232044,0.290271472407016,0.137974121878586,47.5327874056874,0.483290834911793,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.25,532,"old",2236.52844070928,2.2884773968639,321.275868853654
54,117,16,51.8356507230256,20.3370888300149,39.2337870680596,0.449068109529428,129,28,67.7074527252503,22.0981515175253,32.6376944162961,0.418967199652711,119,34,59.62680756396,12.1263535097697,20.3370832771184,0.594394153945706,170,26,98.9771968854283,33.5927178103712,33.9398557116714,0.350182926794982,0.67032967032967,-0.0178571428571429,0.314428508148877,0.110196860669102,35.0467142174416,0.514897721953946,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899,1248,"old",2239.30330739201,8.10407463021003,258.825030183113
57,163,15,56.6998332406893,32.1602440210927,56.7201739105182,0.456239409238604,157,26,70.4007782101167,29.1057817729803,41.3429830081022,0.458107721820741,138,35,63.1964980544747,18.7476702352084,29.6656789733003,0.613421194346957,184,30,110.654808226793,39.7492952111769,35.9218870360415,0.37292029681011,0.690322580645161,-0.0404624277456647,0.346708333636688,0.149838621484536,43.2174848273332,0.515209092874351,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.5,655,"old",2220.15362642879,2.08842499345035,175.899268385574
58,160,11,32.5785376702808,18.9293595133951,58.1037728119486,0.611028084941602,163,23,49.2743953294412,21.6823191132157,44.0032170222506,0.546637941857892,142,33,50.0995273839311,12.2517435275603,24.4548085926453,0.687520250950319,174,20,73.2096191270503,40.6611514844136,55.540722611668,0.434364192472592,0.649484536082474,-0.0604026845637584,0.36381626330747,0.132543208038558,36.4313587396017,0.501920752048333,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.25,932,"old",2245.88706273866,2.87547075512251,105.98144742653
4,147,14,53.7575757575758,30.136298674392,56.0596311304924,0.49036989283946,150,26,68.5532388101195,26.2763563048317,38.3298539367522,0.460269026626053,130,27,51.8957464553795,15.6002615501801,30.0607710953602,0.667458140477999,177,26,115.799555184876,38.6244304733483,33.3545585833068,0.419863835578539,0.682926829268293,-0.116883116883117,0.384233528888575,0.15032439517273,39.1231852169578,0.554149557641827,"data/NAIP/FlaggRanch2015/m_4411059_sw_12_h_20150924.tif",899.25,338,"young",2310.13442003603,6.5209810902185,30.2370109591942
6,171,22,93.007786429366,37.3323523108654,40.1389536769776,0.377312334611962,164,30,97.507786429366,30.3779657262203,31.1543999085918,0.403544319671843,150,33,78.6935483870968,25.9638578920871,32.9936296230662,0.467432752714618,188,43,138.399332591769,30.314304212504,21.9035046230468,0.494985437164282,0.635036496350365,-0.0916666666666667,0.2227116668593,0.159174484107194,71.4711026826242,0.536560824472741,"data/NAIP/FlaggRanch2015/m_4411059_sw_12_h_20150924.tif",899,787,"young",2390.1698837662,4.9704746978698,123.969237067384
