"sample_id","Rmax","Rmin","Rmean","Rsd","Rcv","Rhom","Gmax","Gmin","Gmean","Gsd","Gcv","Ghom","Bmax","Bmin","Bmean","Bsd","Bcv","Bhom","NIRmax","NIRmin","NIRmean","NIRsd","NIRcv","NIRhom","NDVImax","NDVImin","NDVImean","NDVIsd","NDVIcv","NDVIhom","file_name","area","rdnbr","date","weather","prev_fire","elev_m","slope_deg","aspect_deg"
77,139,15,54.1011392053348,25.0333806347826,46.2714482587348,0.436178304185636,137,26,68.1931091969992,25.7171231864754,37.7122021408097,0.425122755724035,115,33,57.8602389552654,14.8788203197131,25.7151034775655,0.593549359827045,174,31,100.707418727424,34.4198762332327,34.1780939956309,0.379107799748072,0.648351648351648,-0.106060606060606,0.316001226463969,0.123593846690705,39.1118249994504,0.476175089754513,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.75,1277,"911","extreme","none",2170.00245760087,9.74106922077426,268.096306082628
80,145,12,46.720200055571,23.5593654936069,50.4265081604625,0.502428397126852,140,26,63.1536537927202,24.2729180280766,38.4347010352624,0.451088007126209,137,35,57.8068908030008,15.8199182531878,27.3668381631184,0.644534906961946,169,31,96.8935815504307,33.4719243096517,34.5450377352709,0.348351469539024,0.702127659574468,-0.12,0.362827818646621,0.143671248948711,39.5976387600644,0.477091215558368,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.75,1290,"911","extreme","none",2099.33849737297,5.92741325103845,32.6865686330862
87,144,13,49.4983324068927,26.7925207614027,54.1281280774456,0.457778304872719,139,26,64.7682045580878,27.7092748930086,42.7822186550768,0.424039617166005,123,29,55.4952751528627,15.4451815623485,27.8315253322098,0.605380417899755,179,26,96.8082267926626,39.7490728153779,41.0596021973524,0.353554474094107,0.73134328358209,-0.151898734177215,0.337499324259122,0.13670601718682,40.5055676739254,0.462146060405797,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.5,1296,"911","extreme","none",2151.88152834279,8.97647911661286,44.923360614272
90,151,13,40.1473450097303,20.6326381828132,51.3922855367212,0.480489401000477,150,27,57.3917153183208,23.5123276845778,40.9681563866277,0.413291575661528,122,33,51.1239922157353,10.0675236887489,19.6923660544066,0.688629415697085,182,24,93.008618293022,42.2174463144424,45.3908971977598,0.29737761323487,0.704225352112676,-0.0526315789473684,0.384742054622192,0.142607820644252,37.0658260335718,0.46065427966765,"data/NAIP/FlaggRanch2015/m_4411059_sw_12_h_20150924.tif",899.25,93,"824","extreme","adams_huck",2108.73887098975,18.3049045930763,293.888864315306
96,114,11,33.0439254934668,19.8642435075113,60.114660140602,0.633048487601613,124,23,49.5332221295524,24.7322552424125,49.930640848936,0.56464662063274,106,29,47.3664164581596,13.6952475773021,28.9134129228451,0.685016298135068,183,15,68.356408117876,45.496864799246,66.5583023625081,0.454000792258963,0.704918032786885,-0.190082644628099,0.304422261955664,0.16179021410616,53.1466434375694,0.474677149854987,"data/NAIP/FlaggRanch2015/m_4411059_nw_12_h_20150924.tif",899.25,1025,"911","extreme","none",2123.97152756385,14.0383342711719,43.9987408202361
50,140,16,44.9897079276773,23.636828709676,52.5383021994121,0.526006291487474,139,27,61.0550764951321,24.2441388361382,39.7086372303066,0.503043421674255,119,35,56.6809457579972,13.3915920264092,23.6262677824492,0.674059219553087,184,31,93.6962447844228,39.0393915874926,41.6659084655045,0.392833299977651,0.653543307086614,-0.0439024390243902,0.355092726688535,0.120753300812572,34.0061318458064,0.538048196813868,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",898.75,0,"917","moderate","none",2196.98252306888,15.1792703579189,79.0696022449584
62,157,14,61.360755975542,29.7993276328224,48.5641468379239,0.46674697456654,156,28,75.7176209005003,28.0003629133462,36.9799824404695,0.449344343048967,132,33,64.5333518621456,19.0680088736764,29.5475259280022,0.596042059933463,181,33,115.697053918844,35.7784311079594,30.92423695858,0.418414170082441,0.671428571428571,-0.0879120879120879,0.326641398639594,0.142003261170706,43.4737488150998,0.556061686569448,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.5,947,"824","extreme","none",2300.05188354492,10.6627242915698,167.673932843171
66,181,35,137.626633305532,29.9517296521789,21.7630330211492,0.528945692064122,169,46,132.792048929664,22.7563780043633,17.1368528370375,0.550893042735318,153,48,106.273561301084,17.5259922630722,16.4913945185474,0.60475529053762,180,80,153.574923547401,15.7853991380199,10.2786306340877,0.651315111992824,0.546511627906977,-0.0807017543859649,0.0656965022771965,0.101539367692532,154.55825526921,0.741947264452623,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.25,161,"824","extreme","adams_huck",2298.99829082014,2.79324075891178,134.942362756263
78,128,10,41.4047817625799,22.240135967967,53.713931148085,0.529904039105163,131,21,58.0967472894078,28.2315151211443,48.5939685753998,0.487675858067623,98,29,51.8273561301084,13.9892278213646,26.9919765659004,0.642918849878232,181,20,94.378926883514,46.1868952067248,48.9377202431326,0.395994323924889,0.681818181818182,-0.008,0.384483382888857,0.118282997285295,30.7641376843295,0.505737396333614,"data/NAIP/FlaggRanch2015/m_4411059_se_12_h_20150912.tif",899.25,869,"824","extreme","none",2304.3741297375,1.53712602049879,289.363170684234
83,161,19,87.333889352238,37.4236857852787,42.8512757909364,0.549149317003245,159,30,92.0717264386989,30.2564745669405,32.86185209863,0.549945548021933,149,35,79.9655268279121,21.8478643886412,27.3216037651554,0.636646668728759,190,23,122.130108423686,38.6077688948375,31.6119991975294,0.601572229218882,0.680473372781065,-0.142857142857143,0.183447979917896,0.158610947472621,86.4609943067289,0.635019827832602,"data/NAIP/FlaggRanch2015/m_4411059_sw_12_h_20150924.tif",899.25,8,"822","extreme","none",2230.77049210169,14.5382235857066,69.7071637227196
