"sample_id","x_ctr","y_ctr","weather","prev_fire","date","rdnbr","elev_m","slope_deg","aspect_deg","zmax","zmean","zcv","zp10","zp25","zp50","zp75","zp90","zp99","zfcc","zfsc"
48,524156.315834783,4869294.75946167,"moderate","none","917",158,2080.3013661565,14.7901171698999,111.835026751516,"24.45","4.68607644882861","149.752371516745","0.07","0.17","0.41","9.625","17.21","22.32","11.7971334068357","29.2171995589857"
49,516461.102786006,4874126.94729032,"moderate","none","917",8,2531.87391540527,11.3722452636984,129.489920629316,"23.22","7.99914631010543","72.8707632503525","0.268","2.74","7.73","12.28","16.052","21.2708","70.464997445069","16.2749105774144"
50,525753.589946821,4874903.66709914,"moderate","none","917",0,2196.98252306888,15.1792703579189,79.0696022449584,"21.64","4.95898177920686","110.226001108929","0.14","0.44","2.59","8.3975","13.515","20.04","38.8519134775374","30.3660565723794"
51,520772.660204961,4868728.28397629,"extreme","none","911",1279,2526.77105819436,17.7828970208272,10.6749728171116,"21.96","8.31778924644134","71.0985336344242","0.28","2.67","8.2","13.495","16.32","19.4578","78.2505328742417","16.0272175766519"
52,521421.45082158,4879482.18227085,"extreme","none","911",815,2143.96801022434,10.75078218702,86.6644008109342,"27.13","9.48651382333109","89.7539880496689","0.15","0.385","8.12","17.72","21.706","25.068","42.8070175438597","19.9498746867168"
53,519966.733755356,4871656.49253898,"extreme","none","824",270,2267.01218162538,26.739794956473,348.837656466331,"39.85","11.4418511515985","103.510276778875","0.29","1.24","5.725","22.1275","31.14","35.9783","61.6909620991254","26.6472303206997"
54,524150.814283505,4877100.59189893,"extreme","none","822",1264,2268.01898193359,6.90434696346323,168.427554742988,"25.24","6.84843824701195","99.7464130483879","0.18","0.52","4.27","12.5","17.71","22.3628","50.4189944134078","26.536312849162"
55,524445.755876341,4877540.75248872,"extreme","none","822",1008,2270.23199542935,8.696977139592,164.998732704825,"25.21","8.99037533512064","71.8904618050989","0.35","3.36","8.45","14.06","18.432","22.464","58.5365853658537","10.5263157894737"
56,523737.271164839,4877398.15137541,"extreme","none","822",1255,2402.22430664062,14.1075484263355,346.03763270231,"17.37","6.54140526976161","79.9978590848749","0.14","0.36","6.995","10.91","13.67","16.0877","41.5436524673134","17.2922817376634"
57,521323.45687401,4878195.66436228,"extreme","none","911",406,2186.41617847501,4.06210406437788,167.939226856676,"25.67","11.5601666666667","54.8102232071876","0.43","7.06","12.4","16.5","19.28","22.7984","59.2219020172911","5.76368876080692"
58,523303.935447235,4881989.82807256,"extreme","glade","911",893,2099.33526535224,2.86244661039845,116.578639626954,"2.53","0.405300668151448","112.855797064799","0.11","0.14","0.21","0.45","1.112","2.1352","0.513478818998716","28.3055198973042"
59,522289.312583275,4876926.50812947,"extreme","none","822",630,2068.20936947312,12.983386451047,104.639564392438,"15.56","2.74005341246291","86.778555539036","0.16","0.39","2.385","4.41","6.021","8.5389","23.9501312335958","18.9632545931759"
