"sample_id","x_ctr","y_ctr","weather","prev_fire.x","date","rdnbr","elev_m","slope_deg","aspect_deg","TPH_trees","BA_m2_ha","CC_pct","CH_m","CFL_kg_m2","CBD_kg_m3","CBH_m","CWD_cover_pct","CWD_Mg_ha","Shrub_cover_pct","Shrub_ht_m"
62,525240.379407572,4875820.86038244,"extreme","none","824",947,2300.05188354492,10.6627242915698,167.673932843171,1939.48184378007,29.9784240865014,53.8530873653822,21.1808239656418,0.853866052972679,0.0745480270497669,0.805839154258432,7.71532182485284,48.8166194196519,0,0.342784821631787
63,521456.218603191,4880213.98494596,"extreme","none","911",204,2101.75949792566,4.67759750466076,66.931586066755,1081.45060092547,11.8125380143376,36.420649637931,15.2654001712982,0.448663633247998,0.0242793725686148,2.91574893868577,7.20324233062628,35.7374018266887,18.1384577305898,0
64,523593.410424966,4870899.90918229,"extreme","wilcox","824",617,2084.88498122431,9.88728813941998,124.065315740791,5330.46935739275,3.52861635474951,1.11109260933553,2.66403576821131,0.789333015195241,0.000456045996671221,2.92005001172002,42.9715874421763,300,10.0605828280835,1.36791542946988
65,521532.493416145,4869120.97746149,"extreme","none","911",1278,2321.42133117676,20.731415088884,5.80836189794523,929.537267302397,17.6754687802026,38.6388098640248,23.0194735098264,1.6055859747218,0.0835723412557869,0.375452763993743,5.5656190284212,16.1546005200804,38.0781331766986,0.283120548869845
66,526870.388410754,4876866.15265356,"extreme","adams_huck","824",161,2298.99829082014,2.79324075891178,134.942362756263,1268.85641255512,0.102679956073252,38.782184310745,3.38212542981059,0.504534440192369,0.000935908770468444,3.46325907097415,16.0158690400452,134.1150186198,0,0.308932843092046
67,526643.445088886,4884910.4571307,"extreme","none","911",1132,2091.42849208313,3.05522444999057,223.502447325537,1974.55070179433,31.530890227454,49.680867341774,20.420877676752,1.40999817980462,0.0490820775443765,2.13096045701264,5.20387274706869,12.5334722936607,24.3150577653075,0.293348250826436
68,520834.055854607,4876120.90139363,"extreme","adams_huck","822",197,2285.69702192418,20.6179392852249,68.7145300031215,2468.2381680771,3.21773683050731,44.7989670348646,6.71557872611224,0.0845735085125401,0.0859838371647396,1.18330788288769,16.4673393377007,73.7664086114479,0,0.806485546996106
69,519516.937787708,4875972.696813,"extreme","none","822",539,2530.34484022765,19.56262365296,178.949515447024,361.040205982319,0.192522408820988,17.4355827545921,7.52225514606129,0.353124539803448,0.00612149410960433,3.17752072497396,8.83630779614528,94.2535078541115,0,1.14297269512911
70,524585.646974625,4879893.09531734,"extreme","none","911",1122,2165.96227191714,14.8203645882866,45.2803650385567,5957.39570433614,4.36215534274658,27.2945307258938,10.7480961728293,0.165054565314801,0.0842390994889196,0.50222906269298,31.4766255664632,300,19.6336988357386,1.14141725240011
71,522876.602967322,4880287.8616436,"extreme","none","911",302,2068.13016559426,0.111359699971877,151.710144251878,1788.27132931149,1.47372777389771,9.86464680019189,10.7797198500849,0.00033707679790377,0.00597514561986538,2.7535067709284,15.5510035983956,300,12.7301898670551,0.893389551524667
72,517304.191230637,4872293.720642,"extreme","none","911",1106,2408.05957204746,25.2267591573607,207.603078528023,676.560731484756,39.2463635474365,54.9079672229226,29.1923864876786,1.75809796280506,0.102083929603172,0.0905909309524254,0.19975488827053,20.9047737033794,45.5340886090585,0.939370057333056
73,523460.041341531,4876658.20006914,"extreme","none","822",550,2364.54998547178,38.062091995185,130.927641328911,2392.56228972348,16.7093495557584,51.0054591883184,15.7809604771678,0.486610045198181,0.131979014378004,0.331689831748254,15.9536864448796,212.451206384177,5.51901169497925,0.827527513412008
74,521204.281367615,4871731.55373901,"extreme","none","822",846,2177.65937325055,19.6958046419717,336.866807903171,735.341054416061,25.1969923556229,18.8085277821941,27.1051110158801,1.17307208226034,0.0417383762649104,0.582735751364826,14.9415790610394,60.3009925487435,56.9226728550315,0.700580038102435
75,521799.662037337,4871251.01498419,"extreme","wilcox","822",340,2437.99714904785,40.7276105069656,259.387128887819,759.219578354638,0.818028830994248,0,6.12488707705027,0.551521004564185,0.029533669275895,2.7098135233357,9.16931683540698,227.31068019339,54.3649470215547,1.85321502510613
76,517847.922524266,4875738.52253176,"extreme","none","911",421,2297.85723162413,14.7772190924474,247.081449356826,821.080157240085,9.75953714939305,36.8480457108792,18.7520870341235,0.894517609514279,0.0957941890422256,0.849214694987204,3.74731542484815,80.6125274463545,34.8905417619977,0.944043100836389
77,522080.263475346,4880312.91623608,"extreme","none","911",1277,2170.00245760087,9.74106922077426,268.096306082628,2778.80164485829,20.5248344257581,51.3539256202719,14.4715924158362,1.08822935187896,0.0882759490117967,0.65743745096458,8.78324089764194,28.3939848369777,32.8348208206629,0.480911824541235
78,526934.33914239,4876089.51682608,"extreme","none","824",869,2304.3741297375,1.53712602049879,289.363170684234,1481.68984728825,33.5798434364832,53.0314037020202,24.6819701249619,1.35963551511297,0.0946227481202372,0.458202400219595,3.76098983866575,25.3419890424403,28.4812003534049,0.614331036229055
